X Y Z RX RY RZ
520.1897794143912 -96.0800850050208 392.36134201815344 2.9988306103299704 -0 2.8198420991930657
490.4627875866134 -131.47337499099115 386.1837573915309 2.9988306103299704 -0 2.8198420991930657
466.2986284093962 -139.330198647384 384.01400147578556 2.9988306103299704 -0 2.8198420991930657
436.749574589529 -135.84649132570155 383.1459136642025 2.9988306103299704 -0 2.8198420991930657
407.85382068403504 -132.47666659957576 382.2919918584242 2.9988306103299704 -0 2.8198420991930657
379.5732875319404 -112.03754127644908 383.79366653193665 2.9988306103299704 -0 2.8198420991930657
361.5909533323605 -85.0254127413354 386.65975977765277 2.9988306103299704 -0 2.8198420991930657
336.159581859596 -52.060595561209254 389.99899068981654 2.9988306103299704 -0 2.8198420991930657
333.81758450200545 -24.60157069810083 393.6369487458042 2.9988306103299704 -0 2.8198420991930657
351.3038781235549 41.99201039071494 403.5127231498037 2.9988306103299704 -0 2.8198420991930657
373.81090174461764 67.6405432698869 408.03329688882997 2.9988306103299704 -0 2.8198420991930657
388.7427004488284 82.73639287230321 410.7705399575327 2.9988306103299704 -0 2.8198420991930657
411.6229883608762 87.70517164408255 412.4881137860506 2.9988306103299704 -0 2.8198420991930657
445.37278660100037 82.64619445331144 413.33233499822416 2.9988306103299704 -0 2.8198420991930657
478.2165050867827 69.69055510184535 413.0585531996512 2.9988306103299704 -0 2.8198420991930657
502.2608980068271 50.609469029948 411.5495138680313 2.9988306103299704 -0 2.8198420991930657
520.5253802314945 24.871019664070786 408.86992905562425 2.9988306103299704 -0 2.8198420991930657
526.1279988390546 -7.685405830625768 404.68508097032753 2.9988306103299704 -0 2.8198420991930657
524.5086142947732 -46.890289710284776 399.2653520529072 2.9988306103299704 -0 2.8198420991930657
523.3402542257371 -75.17598688946845 395.3551042526078 2.9988306103299704 -0 2.8198420991930657
