X Y Z RX RY RZ
631.9810067311611 -71.53569919623772 25.000000000000114 -3.141592653589793 -0 0
598.9194771977176 -49.16804816888384 25.000000000000114 -3.141592653589793 -0 0
578.0450046197434 -20.79186443861363 24.999999999999886 -3.141592653589793 -0 0
555.5147101449749 -1.237105531491693 24.999999999999886 -3.141592653589793 -0 0
533.5209886794245 -14.072165641704714 25.000000000000114 -3.141592653589793 -0 0
507.5298622815134 -53.53382635453306 25 -3.141592653589793 -0 0
473.0574237304755 -103.42727940397538 25.000000000000227 -3.141592653589793 -0 0
441.91134137902094 -87.49363726999366 24.999999999999773 -3.141592653589793 -0 0
441.687795385138 -22.24745108657453 25 -3.141592653589793 -0 0
449.37965297325087 36.84810678966949 25 -3.141592653589793 -0 0
465.74497321363333 84.23114453614676 24.999999999999773 -3.141592653589793 -0 0
490.18776535288225 121.4428180891166 25.000000000000114 -3.141592653589793 -0 0
520.879384625844 148.1540058330031 25.000000000000227 -3.141592653589793 -0 0
550.7377463693085 147.52533063419025 25 -3.141592653589793 -0 0
572.7335248345096 121.53637546119342 25 -3.141592653589793 -0 0
593.9378153985442 93.21347327939179 25 -3.141592653589793 -0 0
627.9665365702755 53.773967938006535 25.000000000000114 -3.141592653589793 -0 0
637.3998997392885 17.878628320773373 25.000000000000227 -3.141592653589793 -0 0
636.09870680316 -25.90234973936333 25 -3.141592653589793 -0 0
