X Y Z RX RY RZ
541.2699696341803 -5.846884700668625 448.8361871679152 3.141592653589793 0 0
463.9096153263283 -20.173806236794007 463.9429051247357 3.141592653589793 0 0
413.44695618539106 -21.278237725178542 457.31795368127837 3.141592653589793 0 0
367.58694551058085 -11.123611852023942 428.9847579108455 3.141592653589793 0 0
348.7740320351569 10.596858038720939 382.25872167413047 3.141592653589793 0 0
323.0000570865626 -25.54310126376822 326.70806881146973 3.141592653589793 0 0
397.3252821471904 11.770988965492734 284.45082374578743 3.141592653589793 0 0
521.9900952991393 20.667342703384975 297.3203749048817 3.141592653589793 0 0
557.8488093985821 17.716340127456988 360.4277994199181 3.141592653589793 0 0
556.432340589406 12.77831025967589 412.43111616019297 3.141592653589793 0 0
